Code,Name,Market
PHC,Phuc Hung Holdings Construction JSC,HOSE
DHM,DHM Investment and Trading JSC,HOSE
DAH,Dong A Hotel Group JSC,HOSE
VPS,Vietnam Pesticide JSC,HOSE
VMD,Vimedimex Medi Pharma JSC,HOSE
PJT,Petrolimex Joint Stock Tanker Co,HOSE
VID,Vien Dong Investment Development Trading Corp,HOSE
PTC,iCapital Investment JSC,HOSE
DRH,DRH Holdings JSC,HOSE
SVT,Saigon Viendong Technology JSC,HOSE
ADG,Clever Group Corp,HOSE
HTV,Logistics Vicem JSC,HOSE
PTL,Victory Group JSC,HOSE
SFC,Saigon Fuel JSC,HOSE
AAT,Tien Son Thanh Hoa Group JSC,HOSE
VPG,Viet Phat Import Export Trading Investment JSC,HOSE
SBV,Siam Brothers Vietnam JSC,HOSE
TPC,Tan Dai Hung Plastic JSC,HOSE
GMC,Garmex Saigon Corp,HOSE
BKG,BKG Viet Nam Investment JSC,HOSE
SMA,Saigon Machinery Spare Parts JSC,HOSE
BRC,Ben Thanh Rubber JSC,HOSE
DTT,Do Thanh Technology Corp,HOSE
CMV,Camau Trading JSC,HOSE
BMC,Binh Dinh Minerals JSC,HOSE
FCM,Phan Vu Ha Nam Concrete JSC,HOSE
HU1,HUD1 Investment and Construction JSC,HOSE
SHA,Son Ha Sai Gon JSC,HOSE
KMR,Mirae JSC,HOSE
VTB,Viettronics Tan Binh JSC,HOSE
SPM,SPM Corp,HOSE
LM8,Lilama 18 JSC,HOSE
NO1,911 Group JSC,HOSE
NAV,Namviet JSC,HOSE
GMH,Quang Tri Minh Hung JSC,HOSE
SVD,Vu Dang Investment & Trading JSC,HOSE
PIT,Petrolimex International Trading JSC,HOSE
TCR,Taicera Enterprise Co,HOSE
VCA,Vicasa Steel JSC,HOSE
GTA,Thuan An Wood Processing JSC,HOSE
AAM,Mekong Fisheries JSC,HOSE
DTA,De Tam JSC,HOSE
TDG,TDG Global Investment JSC,HOSE
HAS,Hacisco JSC,HOSE
ST8,ST8 Holdings JSC,HOSE
DXV,Danang Building Material Vicem JSC,HOSE
FUCVREIT,Techcom Vietnam REIT,HOSE
