Code,Name,Market
9506,Tohoku Electric Power Co Inc,TSE
8252,Marui Group Co Ltd,TSE
8960,United Urban Investment Corp,TSE
3635,Koei Tecmo Holdings Co Ltd,TSE
5938,LIXIL Corp,TSE
1860,Toda Corp,TSE
4816,Toei Animation Co Ltd,TSE
9468,Kadokawa Corp,TSE
8012,Nagase & Co Ltd,TSE
5947,Rinnai Corp,TSE
3349,Cosmos Pharmaceutical Corp,TSE
9076,Seino Holdings Co Ltd,TSE
8368,Hyakugo Bank Ltd,TSE
3405,Kuraray Co Ltd,TSE
6728,Ulvac Inc,TSE
4205,Zeon Corp,TSE
7966,Lintec Corp,TSE
1961,Sanki Engineering Co Ltd,TSE
6407,CKD Corp,TSE
6141,DMG Mori Co Ltd,TSE
7988,Nifco Inc,TSE
1893,Penta-Ocean Construction Co Ltd,TSE
4912,Lion Corp,TSE
6460,Sega Sammy Holdings Inc,TSE
4966,C.Uyemura & Co Ltd,TSE
5233,Taiheiyo Cement Corp,TSE
4613,Kansai Paint Co Ltd,TSE
4368,Fuso Chemical Co Ltd,TSE
8985,Japan Hotel Reit Investment Corp,TSE
5463,Maruichi Steel Tube Ltd,TSE
9706,Japan Airport Terminal Co Ltd,TSE
6890,Ferrotec Corp,TSE
7240,NOK Corp,TSE
4631,DIC Corp,TSE
9989,Sundrug Co Ltd,TSE
4733,Obic Business Consultants Co Ltd,TSE
9065,Sankyu Inc,TSE
8963,Invincible Investment Corp,TSE
7211,Mitsubishi Motors Corp,TSE
6952,Casio Computer Co Ltd,TSE
6507,Sinfonia Technology Co Ltd,TSE
7380,Juroku Financial Group Inc,TSE
5741,UACJ Corp,TSE
9533,Toho Gas Co Ltd,TSE
2531,Takara Holdings Inc,TSE
6526,Socionext Inc,TSE
6508,Meidensha Corp,TSE
6923,Stanley Electric Co Ltd,TSE
8088,Iwatani Corp,TSE
9008,Keio Corp,TSE
4967,Kobayashi Pharmaceutical Co Ltd,TSE
3269,Advance Residence Investment Corp,TSE
6622,Daihen Corp,TSE
9605,Toei Co Ltd,TSE
6278,Union Tool Co,TSE
7003,Mitsui E&S Co Ltd,TSE
4401,Adeka Corp,TSE
8524,North Pacific Bank Ltd,TSE
6960,Fukuda Denshi Co Ltd,TSE
8056,Biprogy Inc,TSE
429A,Tekscend Photomask Corp,TSE
2784,Alfresa Holdings Corp,TSE
6770,Alps Alpine Co Ltd,TSE
7419,Nojima Corp,TSE
7164,Zenkoku Hosho Co Ltd,TSE
2433,Hakuhodo DY Holdings Inc,TSE
8283,PALTAC Corp,TSE
1662,Japan Petroleum Exploration Co Ltd,TSE
8358,Suruga Bank Ltd,TSE
9006,Keikyu Corp,TSE
6753,Sharp Corp,TSE
6592,Mabuchi Motor Co Ltd,TSE
5805,SWCC Corp,TSE
8279,Yaoko Co Ltd,TSE
3116,Toyota Boshoku Corp,TSE
