Code,Name,Market
00867,China Medical System Holdings Ltd,HKEX
00902,Huaneng Power International Inc Class H,HKEX
03360,Far East Horizon Ltd,HKEX
02096,Simcere Pharmaceutical Group Ltd,HKEX
06186,China Feihe Ltd,HKEX
01044,Hengan International Group Co Ltd,HKEX
03858,Jiaxin International Resources Investment Ltd,HKEX
06979,ZJLD Group Inc,HKEX
00696,TravelSky Technology Ltd Class H,HKEX
02252,Shanghai MicroPort MedBot (Group) Co Ltd Class H,HKEX
00136,China Ruyi Holdings Ltd,HKEX
01797,East Buy Holding Ltd,HKEX
03696,InSilico Medicine Cayman TopCo,HKEX
02026,Pony AI Inc,HKEX
01772,Ganfeng Lithium Group Co.  Ltd Class H,HKEX
09889,Dongguan Rural Commercial Bank Co Ltd Class H,HKEX
00371,Beijing Enterprises Water Group Ltd,HKEX
01551,Guangzhou Rural Commercial Bank Co Ltd Class H,HKEX
02357,AviChina Industry & Technology Co Ltd Class H,HKEX
02039,China International Marine Containers Group Co Ltd Class H,HKEX
00631,Sany Heavy Equipment International Holdings Company Ltd,HKEX
02386,Sinopec Engineering Group Co Ltd Class H,HKEX
00914,Anhui Conch Cement Co Ltd Class H,HKEX
02945,China Star Entertainment Ltd,HKEX
00753,Air China Ltd Class H,HKEX
03800,GCL Technology Holdings Ltd,HKEX
00053,Guoco Group Ltd,HKEX
01651,Precision Tsugami (China) Corporation Ltd,HKEX
02938,PegBio Co Ltd Class H,HKEX
01138,COSCO Shipping Energy Transportation Co Ltd Class H,HKEX
09899,Netease Cloud Music Inc,HKEX
01396,Greater Bay Area AI Computingtech Co Ltd,HKEX
02670,Beijing Yunji Technology Co Ltd Class H,HKEX
02162,KeyMed Biosciences Inc,HKEX
06099,China Merchants Securities Co Ltd Class H,HKEX
02400,XD Inc,HKEX
00268,Kingdee International Software Group Co Ltd,HKEX
02333,Great Wall Motor Co Ltd Class H,HKEX
00290,GoFintech Quantum Innovation Ltd,HKEX
02706,Beijing Haizhi Technology Group Co Ltd Class H,HKEX
03896,Kingsoft Cloud Holdings Ltd,HKEX
00142,First Pacific Co Ltd,HKEX
01757,Global Chinese Business Club,HKEX
03393,Wasion Holdings Ltd,HKEX
02553,Beijing Shougang Lanzatech Technology Co Ltd Class H,HKEX
02245,Lygend Resources & Technology Co Ltd Class H,HKEX
06887,Sunshine Lake Pharma Co Ltd Class H,HKEX
00551,Yue Yuen Industrial (Holdings) Ltd,HKEX
01766,Crrc Corp Ltd Class H,HKEX
00772,China Literature Ltd,HKEX
01415,Cowell e Holdings Inc,HKEX
00068,Manycore Tech Inc,HKEX
09677,Weihai Bank Co Ltd Class H,HKEX
02889,PATEO CONNECT Technology (Shanghai) Corp Class H,HKEX
01606,China Development Bank Financial Leasing Co Ltd Class H,HKEX
01164,CGN Mining Co Ltd,HKEX
01788,Guotai Junan International Holdings Ltd,HKEX
00586,China Conch Venture Holdings Ltd,HKEX
01910,Samsonite Group SA,HKEX
00968,Xinyi Solar Holdings Ltd,HKEX
02525,Hesai Group Class B,HKEX
01440,Star Shine Holdings Group Ltd,HKEX
01956,Beijing Zhongke WengeAI Science and Technology Co Ltd Class H,HKEX
02658,Guangdong Tianyu Semiconductor Co Ltd Class H,HKEX
09985,Weilong Delicious Global Holdings Ltd,HKEX
82333,Great Wall Motor Co Ltd Class H,HKEX
03898,Zhuzhou CRRC Times Electric Co Ltd Class H,HKEX
01199,COSCO SHIPPING Ports Ltd,HKEX
00179,Johnson Electric Holdings Ltd,HKEX
02460,China Resources Beverage (Holdings) Co Ltd,HKEX
02225,Jinhai Medical Technology Ltd,HKEX
03900,Greentown China Holdings Ltd,HKEX
06993,Blue Moon Group Holdings Ltd,HKEX
02602,Onewo Inc Class H,HKEX
00010,Hang Lung Group Ltd,HKEX
03330,Lingbao Gold Group Co Ltd Class H,HKEX
00916,China Longyuan Power Group Corp Ltd Class H,HKEX
00763,ZTE Corp Class H,HKEX
01787,Shandong Gold Mining Co Ltd Class H,HKEX
00817,China Jinmao Holdings Group Ltd,HKEX
00014,Hysan Development Co Ltd,HKEX
01357,Meitu Inc,HKEX
00670,China Eastern Airlines Corp Ltd Class H,HKEX
01783,Envision Greenwise Holdings Ltd,HKEX
02356,Dah Sing Banking Group Ltd,HKEX
09900,Hong Kong Zcloud Technology Construction Ltd,HKEX
01800,China Communications Construction Co Ltd Class H,HKEX
01055,China Southern Airlines Co Ltd Class H,HKEX
00017,New World Development Co Ltd,HKEX
01286,Impro Precision Industries Ltd,HKEX
09969,InnoCare Pharma Ltd,HKEX
09606,Duality Biotherapeutics Inc,HKEX
07666,Metis TechBio Co Ltd Class H,HKEX
03933,United Laboratories International Holdings Ltd,HKEX
00512,Grand Pharmaceutical Group Ltd,HKEX
09995,RemeGen Co Ltd Class H,HKEX
01860,Mobvista Inc,HKEX
02232,Crystal International Group Ltd,HKEX
02419,DEKON Food and Agriculture Group Class H,HKEX
09688,Zai Lab Ltd,HKEX
02518,Autohome Inc,HKEX
02698,Softcare Ltd,HKEX
02610,Nanshan Aluminium International Holdings Ltd,HKEX
06098,Country Garden Services Holdings Co Ltd,HKEX
01511,UISEE Technologies (Beijing) Co Ltd Class H,HKEX
02276,Shanghai Conant Optical Co Ltd Class H,HKEX
02580,AUX Electric Co Ltd,HKEX
01833,Ping AN Healthcare and Technology Co Ltd,HKEX
02590,Beijing Geekplus Technology Co Ltd Class H,HKEX
03918,Nagacorp Ltd,HKEX
06060,ZhongAn Online P & C Insurance Co Ltd Class H,HKEX
03310,Viewtrix Technology Co Ltd Class H,HKEX
03899,CIMC Enric Holdings Ltd,HKEX
00622,Oshidori International Holdings Ltd,HKEX
02038,FIH Mobile Ltd,HKEX
01196,Realord Group Holdings Ltd,HKEX
02675,Shenzhen Edge Medical Co Ltd Class H,HKEX
06228,Merdeka Gold Resources PT Tbk DRC,HKEX
00991,Datang International Power Generation Co Ltd Class H,HKEX
06066,China Securities Co Ltd Class H,HKEX
03660,Qfin Holdings Inc,HKEX
00326,China Star Entertainment Ltd,HKEX
03618,Chongqing Rural Commercial Bank Co Ltd Class H,HKEX
01276,Jiangsu Hengrui Pharmaceuticals Co Ltd Class H,HKEX
03355,FS.Com Ltd Class H,HKEX
02343,Pacific Basin Shipping Ltd,HKEX
06049,Poly Property Services Co Ltd Class H,HKEX
00013,HUTCHMED (China) Ltd,HKEX
00579,Beijing Jingneng Clean Energy Co Ltd Class H,HKEX
01066,Shandong Weigao Group Medical Polymer Co Ltd Class H,HKEX
06199,Bank of Guizhou Co Ltd Class H,HKEX
00069,Shangri-La Asia Ltd,HKEX
09636,JF SmartInvest Holdings Ltd,HKEX
03677,Jiangsu Zenergy Battery Technologies Group Co Ltd Class H,HKEX
02632,Jiangsu New Vision Automotive Electronics Co Ltd Class H,HKEX
00800,WeRide Inc,HKEX
00390,China Railway Group Ltd Class H,HKEX
06936,S.F. Holding Co Ltd Class H,HKEX
01392,Shenzhen HQVT Technology Co Ltd Class H,HKEX
01060,Damai Entertainment Holdings Ltd,HKEX
09898,Weibo Corp,HKEX
01579,Yihai International Holding Ltd,HKEX
00363,Shanghai Industrial Holdings Ltd,HKEX
00152,Shenzhen International Holdings Ltd,HKEX
00123,Yuexiu Property Co Ltd,HKEX
01918,Sunac China Holdings Ltd,HKEX
03877,CSSC (Hong Kong) Shipping Co Ltd,HKEX
06166,CIG ShangHai Co Ltd Class H,HKEX
00901,Shenzhen SDMC Technology Co Ltd Class H,HKEX
02589,Auntea Jenny (Shanghai) Industrial Co Ltd Class H,HKEX
02637,Fujian Haixi Pharmaceuticals Co Ltd Class H,HKEX
06682,Phancy Group Co Ltd Class H,HKEX
06055,China Tobacco International (HK) Co Ltd,HKEX
06031,Sany Heavy Industry Co Ltd Class H,HKEX
01384,Deepexi Technology Co Ltd Class H,HKEX
00590,Luk Fook Holdings (International) Ltd,HKEX
01277,Kinetic Development Group Ltd,HKEX
06675,SENASIC Electronics Technology Co Ltd Class H,HKEX
00303,Vtech Holdings Ltd,HKEX
02510,T.S. Lines Ltd,HKEX
02016,China Zheshang Bank Co Ltd Class H,HKEX
06855,Ascentage Pharma Group International,HKEX
06872,TenNor Therapeutics (Suzhou) Ltd Class H,HKEX
01578,Bank of Tianjin Co Ltd Class H,HKEX
02778,Champion Real Estate Investment Trust,HKEX
06600,OneRobotics (Shenzhen) Co Ltd Class H,HKEX
00853,Microport Scientific Corp,HKEX
00697,Shoucheng Holdings Ltd,HKEX
00856,VSTECS Holdings Ltd,HKEX
02507,Cirrus Aircraft Ltd,HKEX
09858,China Youran Dairy Group Ltd,HKEX
02335,Shaanxi Micot Pharmaceutical Technology Co Ltd Class H,HKEX
00440,Dah Sing Financial Holdings Ltd,HKEX
02869,Greentown Service Group Co Ltd,HKEX
02729,Zhejiang Galaxis Technology Group Co Ltd Class H,HKEX
09668,China Bohai Bank Co Ltd Class H,HKEX
00881,Zhongsheng Group Holdings Ltd,HKEX
02314,Lee & Man Paper Manufacturing Ltd,HKEX
06106,Shanghai Seer Intelligent Technology Co Ltd Class H,HKEX
06658,Liuliumei Co Ltd Class H,HKEX
01428,Bright Smart Securities & Commodities Group Ltd,HKEX
02596,Yibin City Commercial Bank Co Ltd Class H,HKEX
00921,Hisense Home Appliances Group Co Ltd Class H,HKEX
00546,Fufeng Group Ltd,HKEX
01999,Man Wah Holdings Ltd,HKEX
03388,Shenzhen Creality 3D Technology Co Ltd Class H,HKEX
00177,Jiangsu Expressway Co Ltd Class H,HKEX
06699,Angelalign Technology Inc,HKEX
02643,CaoCao Inc,HKEX
01963,Bank of Chongqing Co Ltd Class H,HKEX
02050,Zhejiang Sanhua Intelligent Controls Co Ltd Class H,HKEX
02299,Billion Industrial Holdings Ltd,HKEX
02272,Keytop Parking Inc Class H,HKEX
09638,Ferretti SpA,HKEX
02883,China Oilfield Services Ltd Class H,HKEX
01866,China XLX Fertiliser Ltd,HKEX
07489,Voyah Automotive Technology Co Ltd Class H,HKEX
01236,Shenzhen Ldrobot Co Ltd Class H,HKEX
02432,Shenzhen Dobot Corp Ltd Class H,HKEX
01779,LongBio Pharma (Suzhou) Co Ltd Class H,HKEX
08603,Fameglow Holdings Ltd,HKEX
02128,China Lesso Group Holdings Ltd,HKEX
03928,China Next-Gen Commerce and Supply Chain Ltd,HKEX
03339,Lonking Holdings Ltd,HKEX
00041,Great Eagle Holdings Ltd,HKEX
06110,Topsports International Holdings Ltd,HKEX
